guid,sentence1,sentence2,y_true,y_pred,correct,overlap,true_label_name,pred_label_name
2335898a-c2eb-48b0-a94f-c948e88ac1ac,"Similar, logaritmii cu diferite baze constante sunt echivalenți.",Exponențialele cu baze diferite nu sunt de același ordin.,0,2,False,0.3076923076923077,entailment,neutral_related
c0a753c9-9751-43bb-8f7e-0e80fc9b7425,Un semispațiu închis poate fi exprimat ca o inegalitate liniară: :a_1 x_1 + a_2 x_2 + \cdots + a_n x_n \leq b unde n este dimensiunea spațiului care conține politopul respectiv.,Un ''politop convex închis'' poate fi privit ca mulțimea de soluții a sistemului liniar de inegalități: :\begin a_ x_1 &&\; + \;&& a_ x_2 &&\; + \cdots + \;&& a_ x_n &&\; \leq \;&&& b_1 \\ a_ x_1 &&\; + \;&& a_ x_2 &&\; + \cdots + \;&& a_ x_n &&\; \leq \;&&& b_2 \\ \vdots\;\;\; && && \vdots\;\;\; && && \vdots\;\;\; && &&& \;\vdots \\ a_ x_1 &&\; + \;&& a_ x_2 &&\; + \cdots + \;&& a_ x_n &&\; \leq \;&&& b_m \\ \end unde m este numărul semispațiilor care definesc politopul.,3,1,False,0.22033898305084745,neutral_unrelated,contradiction
53539d82-f276-4955-999c-eba80b4ea5cc,"Drepturile contelui au fost din ce în ce mai mult tratate ca drepturi private datorită schimbului, vânzării și diviziunii moștenirii.",Vechile comitate s-au divizat din ce în ce mai mult fiind asociate cu alte drepturi și formând comitate noi de dimensiuni mai mici.,2,0,False,0.21875,neutral_related,entailment
b92ede87-c577-4e4f-bfd2-d6d1a6c7774e,Pilar este o locuitoare a orașului Macondo care se culcă cu frații Aureliano și José Arcadio.,"Ea devine mama fiilor lor, aureliano josé și arcadio.",2,3,False,0.19047619047619047,neutral_related,neutral_unrelated
c942cae2-680b-4f87-85b2-0398fb2c836a,"Nici un candidat nu a obținut o majoritate în primul tur de scrutin, deși actualul președinte Kocharyan obținuse puțin sub 50% din voturi.","A fost organizat un al doilea tur de scrutin și kocharyan l-a învins pe stepan demirchyan, obținând peste 67% din voturi.",2,3,False,0.1891891891891892,neutral_related,neutral_unrelated
e055ed9a-b477-4206-9afc-2f7bb44195f0,"Modul se poate deplasa pe toată lungimea vârfului, fără a produce nici un fel de câmp de radiație, până în vârf unde acesta interacționează cu molecula.","Planul focal este separat față de planul de excitație, cu o distanță dață de lungimea vârfului, și nici un fundal nu joacă vreun rol în excitația raman a moleculei.",2,0,False,0.18604651162790697,neutral_related,entailment
45d5c24d-60a1-45f8-9736-589819bd7508,"Prenumele lui Lee, Jun-fan a fost scris la început în limba chineză 震藩, însă, caracterul chinez ''Jun'' (震) era identic cu una dintre părțile numelui bunicului său, Lee Jun-biu (李震彪).","Caracterul chinez ''jun'' din numele lui lee a fost înlocuit cu omonimul 振 , pentru a evita tabuurile legate de nume din tradiția chineză.",2,3,False,0.18181818181818182,neutral_related,neutral_unrelated
cd665344-9f76-4c79-be18-1566ac4ee28c,"Kościuszko a concluzionat că Napoleon a creat Ducatul Varșoviei în 1807 doar pentru a-și ușura viața, nu pentru că ar sprijini suveranitatea poloneză.","Kościuszko nu s-a mutat în ducatul varșoviei și nici nu s-a alăturat noii , aliată cu napoleon.",2,0,False,0.16666666666666666,neutral_related,entailment
d98e702f-2c4e-4557-9758-146eefbfe708,"În următoarele alegeri, din 1963 și 1967 a fost reales, devenind un politician de opoziție de marcă.",A fost candidatul natural pentru postul de preșdinte la alegerile din 1971.,2,3,False,0.16666666666666666,neutral_related,neutral_unrelated
9496971f-17b3-4105-8a1b-2db581f0dc4a,"Dacă nu autoritățile sunt cele care să decidă doctrina, și dacă argumentele lui Martin Luther pentru preoția tuturor credincioșilor sunt duse la extrem, caz în care Biserica ar fi condusă de cei aleși, atunci a avea monarhul în fruntea Bisericii ar fi intolerabil.","Dacă monarhul e numit de dumnezeu să fie în fruntea bisericii, atunci e intolerabil ca parohiile locale să își decidă singure doctrina.",0,2,False,0.16326530612244897,entailment,neutral_related
